annual_inc,bc_open_to_buy,bc_util,int_rate,loan_amnt,max_bal_bc,percent_bc_gt_75,total_bc_limit,total_rec_int,total_rev_hi_lim,emp_length_int,grade_label,application_type_Joint App,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,term_ 60 months,title_Car financing,title_Credit card refinancing,title_Debt consolidation,title_Green loan,title_Home buying,title_Home improvement,title_Major purchase,title_Medical expenses,title_Moving and relocation,title_Other,title_Vacation,verification_status_Source Verified,verification_status_Verified
57000,12373,66.1,27.27,25000,13460,40,36500,1069.07,41000,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
175000,11525,50.3,23.4,5000,5113,50,23200,183.36,28800,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55000,0,102,24.37,5000,4078,100,4000,190.99,12400,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58000,120,99,26.31,20000,11580,100,11700,306.95,13700,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72000,1707,89.1,26.31,5000,5089,80,15700,206.26,24500,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,8619,60.6,25.34,20000,8384,66.7,21900,794.49,29500,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98000,2945,81.6,26.31,18000,13055,100,16000,742.53,21000,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115000,218,98.8,23.4,1000,5335,100,18200,36.67,24800,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45000,924,91,27.27,4500,5187,100,10300,191.97,12500,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45000,158,96.8,24.37,5000,4842,100,5000,190.99,5300,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60000,4135,65.5,27.27,12600,2853,40,12000,538.82,20900,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35000,2301,64.6,26.31,1200,3534,25,6500,49.5,11500,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000,928,78.4,26.31,7400,1867,75,4300,305.26,5800,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
85000,48,99.7,23.4,24825,7930,100,14900,910.36,26000,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72000,2708,72.4,25.34,1500,6270,50,9800,56.94,10200,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63404,12691,57.6,27.27,22900,7502,25,29900,984.62,49700,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
45000,456,96.7,23.4,1000,8791,100,14000,36.67,14000,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204060,18474,77.3,26.31,2825,20686,28.6,81400,116.54,94400,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70000,3165,49,23.4,7000,2421,0,6200,256.7,6200,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68000,662,86.8,26.31,6500,4338,100,5000,268.13,5500,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120500,11696,2.5,23.4,12325,304,0,12000,451.98,36800,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71000,3795,81.3,27.27,21800,5939,66.7,20300,462.38,21100,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55000,6248,16.7,23.4,12000,1252,0,7500,442.51,13600,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
59500,13694,49.8,23.4,1000,5425,33.3,27300,36.67,44000,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20000,484,84.9,26.31,3000,1909,66.7,3200,123.75,8100,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55000,16310,35.3,25.34,12000,7622,33.3,25200,479.32,31700,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
30000,371,94.3,24.37,10000,3406,100,6500,189.54,18600,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75000,101,97.8,27.27,1500,4399,100,4500,40.9,4500,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
70000,8029,46.5,23.4,12000,2094,25,15000,440.06,24700,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51000,845,95.4,27.27,12500,7076,100,18200,537.45,31500,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
135000,3795,87.3,25.34,1000,11534,60,30000,39.73,37000,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40000,4,100,24.37,20000,12496,100,12500,768.19,14200,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
70000,2090,65.2,23.4,3300,2005,50,6000,121.01,6000,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95000,5919,68.2,25.34,18000,4126,20,18600,718.98,22100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
33000,171,96.4,27.27,15000,1966,100,4700,644.15,8800,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40000,11773,62.7,25.34,40000,12474,60,31600,872.82,45300,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
85000,1753,93.5,23.4,25000,9349,100,26800,916.78,40000,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36000,4959,54.5,24.37,5000,4490,0,10900,190.99,18800,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17000,3800,0,23.4,4100,0,0,3800,150.35,5800,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
73000,0,146.3,23.4,10000,8045,100,5500,366.71,5500,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75000,8648,16,30.65,1000,1568,0,10300,48.09,10300,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70000,7693,49.4,23.4,15000,3447,20,15200,550.07,15200,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50000,211,98.8,24.37,20000,11123,100,18300,392.62,29100,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47000,1304,86,26.31,10000,5660,100,9300,414.78,20400,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
25000,2760,96,24.37,8750,6362,80,13800,177.7,13800,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90000,36008,45.4,23.4,15000,11093,10,66000,550.07,83000,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60000,10752,28.3,24.37,8800,1748,16.7,15000,336.14,27700,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55000,543,91.5,26.31,1200,3011,100,6400,49.5,7400,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44000,328,98.4,23.4,25000,12674,100,20600,916.78,29400,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25000,14327,17.7,23.4,5000,2999,25,17400,183.36,17400,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31200,12056,3.6,27.27,1500,291,0,12500,64.14,18500,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
87341,24846,0.2,27.27,3000,54,0,24900,128.29,41900,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75000,0,102,23.4,1000,2040,100,2000,36.67,23000,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32000,390,96,23.4,13000,4879,100,9800,451.87,19200,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45000,551,94.5,23.4,8000,6149,100,10000,293.37,12700,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96000,740,50.7,24.37,15000,760,0,1500,576.15,19700,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
65000,1451,34,23.4,2000,727,0,2200,33.96,8600,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185000,5290,89.3,23.4,11000,7698,82.4,49500,356.03,83500,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
140793,1563,87,27.27,29575,5822,100,12000,1271.62,18500,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
21996,616,86.3,27.27,7475,2049,100,4500,319.65,11900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28000,11802,45.6,23.4,10000,4941,50,21700,366.71,21700,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
220000,5881,46,23.4,7000,1580,0,10900,256.7,12300,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43000,867,91.7,25.34,28800,4530,100,10400,1150.37,10400,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
72000,662,71.2,23.4,3000,1049,0,2300,110.01,22400,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44000,2645,82.4,24.37,1000,8916,83.3,15000,35.54,22500,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40000,2574,69.7,24.37,13400,2966,50,8500,511.85,13800,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28000,261,73.9,26.31,2300,407,50,1000,94.88,2100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97000,17310,0.5,23.4,5000,90,0,17400,163.86,17400,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37600,6351,86.4,23.4,29900,12032,80,46800,1096.48,52000,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85000,16264,62,27.27,30000,9596,57.1,42800,1289.89,50400,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
36000,4854,47.8,26.31,9000,2473,66.7,9300,358.1,25200,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000,560,96.6,23.4,15000,9520,100,16400,530.57,19900,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95000,12789,46.7,23.4,18600,3823,28.6,24000,682.09,33700,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52000,2907,83.2,24.37,16000,4878,80,17300,589.49,25900,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120000,15924,45.3,23.4,17400,7282,16.7,29100,479.74,30800,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33000,9151,53.8,26.31,15700,5285,33.3,19800,624.7,22000,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20000,945,37,27.27,4000,555,0,1500,159.94,3000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
31000,7667,32.7,23.4,4000,3242,25,11400,146.69,16400,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
81548,5263,45.2,26.31,12475,2683,50,9600,499.2,35800,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
42000,1349,89.1,23.4,13000,5951,100,12400,253.5,12400,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
50000,3419,59.8,25.34,15000,1860,0,8500,599.15,19000,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
39000,539,78.4,23.4,3000,1841,50,2500,110.01,3000,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90000,1216,71.7,23.4,4800,1424,75,4300,136.21,6300,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93000,416,85.1,23.4,4000,2384,100,2800,141.49,4600,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115000,10365,78.9,23.4,25000,30463,33.3,49200,916.55,51400,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35000,249,97.6,25.34,8000,4166,100,10300,306.53,15700,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40000,3000,0,27.27,1000,0,0,3000,31.58,8400,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44654.23,7911,27.4,25.34,30000,1580,0,10900,1156.08,20600,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55000,80098,22.2,24.37,25000,10400,11.1,103000,575.4,104500,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
100000,3565,60.8,6,18200,2161,28.6,9100,177.45,17600,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000,804,90.7,25.34,10000,2976,100,8600,383.17,19700,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
52000,140,95,23.4,13500,2660,100,2800,477.51,13200,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
160000,9290,29.1,26.31,12000,1529,50,13100,480.19,19800,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36000,7755,53,23.4,11400,7061,40,16500,403.23,29000,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39500,0,100.1,27.27,12000,2002,100,2000,497.85,2300,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
85000,3781,84.5,26.31,20000,8110,66.7,24400,800.32,41400,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
75000,6889,81.3,25.34,10000,7071,44.4,36800,175.98,57200,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30000,510,96,23.4,3000,7777,100,12800,106.11,12800,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
31000,2546,62,26.31,10000,1956,0,6700,400.16,15200,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
56000,145,98.3,25.34,10000,4560,100,8500,385.36,39600,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
225000,10314,12.6,27.27,20000,1486,0,11800,829.63,11800,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42000,6808,55.5,23.4,10125,5899,0,15300,358.13,16900,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22000,25129,13.9,23.4,10000,3675,0,29200,355.76,44400,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
68000,3639,27.2,24.37,5000,878,25,5000,184.22,6000,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36000,11958,36.7,23.4,8500,4354,0,18900,300.66,21500,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45000,1058,73.6,23.4,3900,1823,50,4000,137.94,5200,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35000,7269,27.3,24.37,3000,1884,0,10000,114.6,10300,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
700000,24602,61.4,27.27,30000,16113,50,63700,1244.45,86900,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
60000,9833,24.9,27.27,30000,2454,25,13100,949.02,15800,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
78000,2780,85.5,24.37,35000,8710,50,19200,1296.95,22200,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26000,6218,57.7,23.4,4000,6231,33.3,14700,140.83,17300,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105000,483,97.5,23.4,8000,9851,100,19600,282.97,38400,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30000,714,55.4,23.4,1000,886,50,1600,35.37,2100,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30000,3455,62.4,23.4,8500,4287,25,9200,295.24,11700,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
56000,394,93.6,23.4,10000,2483,100,6200,162.5,27300,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25000,5173,62.5,27.27,24000,3930,40,13800,995.55,19800,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
70000,7358,23.4,25.34,10000,1908,33.3,9600,383.17,31000,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150000,6127,65.6,26.31,20925,6563,20,17800,837.34,17800,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
54000,1162,57,25.34,20000,797,33.3,2700,770.71,2700,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
72000,3725,81,26.31,8525,9541,25,14900,339.21,18270,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70000,681,78.7,26.31,12000,2519,100,3200,480.19,3200,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45000,4273,70.7,23.4,5000,6110,75,14600,176.86,17400,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
65000,6441,49.3,23.4,6400,4433,0,12700,226.38,22500,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
59000,2459,38.5,25.34,13700,661,33.3,4000,553.86,14300,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
98000,7295,81.9,27.27,30000,10798,71.4,40200,1244.45,76200,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
62000,30335,12.1,26.31,9100,4155,0,34500,0,34500,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150000,15207,22.8,26.31,30000,3826,14.3,19700,1172.42,24100,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
60000,2025,78,27.27,20000,4456,66.7,9200,829.63,12700,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
67000,5321,87.9,24.37,10000,16287,66.7,44100,368.43,51100,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16890,2616,41.9,23.4,2850,1884,0,4500,46.31,4500,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41736,177,96.3,23.4,7950,2699,100,4800,281.2,25000,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75000,4091,74.4,23.4,1000,6569,66.7,16000,35.37,47400,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
60000,11202,27.7,27.27,9200,3089,0,15500,379.49,17500,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40000,9668,6.1,25.34,3000,632,0,10300,114.95,19900,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55000,1123,85.4,23.4,7000,3505,66.7,7700,252.15,9200,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59995,2302,89.3,26.31,25825,4892,83.3,21600,1052.28,48100,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
71000,0,100.1,26.31,13800,1501,100,1500,402.18,11300,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
50000,31630,22.9,25.34,30000,5818,0,41000,1156.08,41000,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
170000,2717,77.7,24.37,5000,7996,33.3,12200,128.62,14800,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150000,16526,31.1,25.34,3525,3999,0,24000,0,27600,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38000,1734,42.2,24.37,1600,1190,50,3000,58.97,5700,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23000,327,34.6,23.4,1000,173,0,500,36.02,700,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20000,890,83.2,25.34,1500,4092,50,5300,26.39,5300,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
175000,339,97.4,27.27,12000,5732,100,13000,504.06,24700,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48300,368,98,25.34,12000,5927,100,18200,468.24,18200,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
44650,51,97.2,23.4,6400,1749,100,1800,230.54,12300,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40000,2940,51,25.34,19000,3060,0,6000,732.18,14200,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
75000,885,97.6,25.34,15000,11349,100,36200,585.31,36200,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
